"","pitch_type","whiff","swing","estimated_woba_using_speedangle","release_speed","pfx_x","pfx_z"
"1","CU",0,1,NA,77.5,0.92,-1.22
"2","FC",0,0,NA,90.4,0.01,0.77
"3","CU",0,0,NA,80.8,1.17,-0.48
"4","FC",0,0,NA,86.7,0.36,0.09
"5","SV",1,1,NA,83.8,1.27,-0.4
"6","CU",0,0,NA,77.4,1.07,-1.26
"7","SL",0,0,NA,88.8,0.4,0.35
"8","CU",0,0,NA,74.6,1.37,-0.9
"9","FC",0,1,NA,90.2,0.36,0.61
"10","CU",0,1,NA,77.3,1.26,-1.24
"11","FC",0,0,NA,86.8,0.29,0.51
"12","SL",0,0,NA,91.3,-0.17,0.37
"13","SL",0,0,NA,85.3,0.35,0.39
"14","SV",0,1,NA,84.1,1.04,0.49
"15","KC",0,0,NA,82.4,0.53,-0.88
"16","SL",0,0,NA,84.4,1.21,0.03
"17","SL",0,0,NA,89.3,0.34,0.38
"18","FC",0,1,0,85.9,0.37,0.7
"19","KC",0,1,NA,81.8,0.31,-0.95
"20","CU",1,1,NA,80.9,0.74,-1.08
"21","SV",1,1,NA,83.8,1.13,-0.19
"22","KC",0,1,0.537,82.9,0.1,-1.42
"23","SL",0,0,NA,87.5,0.69,0.01
"24","SV",0,0,NA,83.8,1.14,-0.12
"25","FC",0,0,NA,87.8,0.06,0.82
"26","SL",1,1,NA,88.7,0.11,0.82
"27","SL",1,1,NA,85.4,0.32,-0.51
"28","SL",0,0,NA,84.4,0.36,0.2
"29","SL",0,1,1.899,74.8,0.37,0.14
"30","CU",0,0,NA,83.2,0.78,-1.04
"31","FC",0,0,NA,94.5,0.22,1.02
"32","SL",1,1,NA,90.5,-0.07,0.39
"33","FC",0,0,NA,89.9,0.26,0.73
"34","SL",0,0,NA,87.5,0.04,0.87
"35","FC",0,1,NA,87.1,0.28,0.16
"36","SL",0,0,NA,87,0.61,0.35
"37","KC",0,1,NA,86,-0.01,-0.42
"38","KC",1,1,NA,82.3,0.48,-0.86
"39","FC",1,1,NA,87.2,0.32,0.6
"40","SL",0,1,0.044,78.5,0.25,0.02
"41","FC",0,1,NA,94.5,0.29,1.05
"42","SL",0,0,NA,87.6,0.42,0.07
"43","CU",0,0,NA,79.7,1.04,-1.38
"44","FC",1,1,NA,89.4,0.04,0.59
"45","SL",0,1,0.105,83.8,0.34,-0.05
"46","SL",0,1,NA,82.1,0.36,0
"47","SL",0,0,NA,83.8,0.22,0.19
"48","SL",0,0,NA,87.1,0.25,0.13
"49","CU",0,0,NA,80.7,0.89,-1.4
"50","KC",1,1,NA,82.5,0.4,-0.83
"51","SL",0,0,NA,86.8,0.49,-0.15
"52","SL",0,0,NA,79.4,-0.02,-0.37
"53","FC",0,1,0.056,94.5,0.24,1.17
"54","KC",0,0,NA,81.9,0.83,-1.23
"55","CU",1,1,NA,80.3,0.82,-0.92
"56","SL",1,1,NA,83.6,0.42,0.05
"57","FC",0,1,0.285,87.7,0.08,0.86
"58","SL",0,0,NA,88.4,0.15,0.33
"59","KC",0,1,0.736,88,0.4,0.24
"60","SL",0,1,0.102,88.5,0.33,0.49
"61","CU",1,1,NA,80.4,1.15,-1.15
"62","SL",0,0,NA,86.5,0.29,0.19
"63","KC",0,0,NA,87.5,-0.02,-0.17
"64","FC",0,0,NA,93.7,0.47,0.65
"65","SL",0,1,0.023,85.1,0.08,0.69
"66","SL",1,1,NA,86.8,0.47,0.35
"67","CU",1,1,NA,79.8,0.86,-1.23
"68","FC",0,1,NA,85.6,0.45,0.73
"69","FC",1,1,NA,92.7,0.24,0.57
"70","FC",1,1,NA,91.7,0.3,0.5
"71","SL",0,0,NA,76.7,0.46,0.03
"72","FC",0,1,0.309,87,0.58,0.49
"73","SL",0,0,NA,88,0.48,0.21
"74","CU",0,1,NA,81,0.9,-0.9
"75","SL",0,0,NA,91,-0.17,0.42
"76","SL",0,1,1.484,84,0.25,0.31
"77","SL",1,1,NA,86.6,0.46,0.17
"78","FC",0,0,NA,85.1,0.22,0.68
"79","SL",0,1,NA,83.3,0.31,0.17
"80","FC",0,0,NA,87.5,0.39,0.34
"81","CU",0,1,NA,78,0.81,-1.46
"82","CU",0,1,0.733,75.6,1.07,-0.87
"83","SL",0,0,NA,86.8,0.16,-0.14
"84","SL",1,1,NA,78.3,0.38,0.01
"85","FC",0,1,0.404,89.4,-0.07,0.68
"86","KC",0,0,NA,86.2,-0.02,-0.17
"87","FC",0,0,NA,94.5,0.5,0.73
"88","CU",0,0,NA,77,0.84,-1.37
"89","SL",0,1,NA,85.2,0.34,0.22
"90","KC",1,1,NA,83.7,0.2,-1.56
"91","SV",0,0,NA,81.5,1.52,-0.03
"92","CU",0,1,0.764,78.2,0.78,-0.64
"93","FC",0,1,NA,87.6,0.45,0.23
"94","SL",0,1,0.31,88.3,-0.01,0.41
"95","SL",0,0,NA,86,0.45,-0.36
"96","FC",0,0,NA,86.2,0.08,0.94
"97","CU",0,0,NA,73.5,1.7,-0.43
"98","SL",0,0,NA,80.7,1.39,-0.11
"99","SL",1,1,NA,83.3,0.15,-0.26
"100","SL",0,0,NA,84.7,0.48,-0.31
"101","CU",0,1,NA,75.3,1.15,-0.86
"102","SL",0,0,NA,88.9,0.04,0.4
"103","FC",0,1,0.69,86.1,0.28,0.83
"104","SL",0,0,NA,83,0.92,0.04
"105","CU",0,1,NA,79.9,1.1,0.32
"106","SL",0,0,NA,81.8,1.34,-0.26
"107","FC",0,1,NA,91.6,0.37,0.56
"108","FC",0,0,NA,87,0.05,1.07
"109","CU",0,0,NA,80,0.28,-0.31
"110","SL",0,0,NA,87.7,-0.12,0.27
"111","CU",0,0,NA,76.1,1.06,-0.92
"112","FC",0,1,NA,84.9,0.45,0.76
"113","KC",0,0,NA,89.8,-0.19,0.18
"114","SL",0,1,NA,82.8,0.33,0.13
"115","CU",0,0,NA,84,0.44,-1.22
"116","CU",0,1,NA,79.6,0.73,-1.28
"117","FC",0,1,NA,92.3,0.62,0.96
"118","FC",0,0,NA,86.5,0.09,0.7
"119","CU",0,0,NA,79.3,1.22,-1.53
"120","FC",0,1,NA,88.9,0.07,1.07
"121","SL",0,0,NA,80.2,1.47,0.48
"122","KC",0,0,NA,81.9,0.64,-0.85
"123","SL",0,0,NA,81.8,1.3,-0.02
"124","KC",0,0,NA,83.3,0.31,-1.52
"125","FC",0,1,NA,85.4,0.13,0.59
"126","CU",0,0,NA,75.1,0.8,-1.35
"127","SL",0,0,NA,83.4,0.45,0.24
"128","CU",0,1,NA,78.5,0.93,-1.4
"129","CU",0,0,NA,73.1,1.47,-0.77
"130","SL",0,0,NA,77.1,0.38,-0.41
"131","FC",0,1,NA,90.3,0.05,0.53
"132","SL",0,0,NA,87.8,0.24,0.46
"133","CU",1,1,NA,76.3,0.7,-1.35
"134","KC",0,0,NA,80.8,1.02,-1.07
"135","SL",0,0,NA,89.8,-0.08,0.26
"136","FC",0,0,NA,85,-0.03,1.19
"137","FC",0,1,NA,94.7,-0.05,1
"138","SL",0,0,NA,78.9,0.24,-0.05
"139","SL",0,0,NA,87.8,0.1,0.19
"140","SL",0,0,NA,87.7,0.5,0.08
"141","CU",0,0,NA,83.7,0.4,-1.37
"142","FC",1,1,NA,92,0.04,0.83
"143","SL",0,0,NA,89,-0.08,1.29
"144","SL",0,1,0.334,90.1,-0.16,0.31
"145","SL",0,0,NA,88.5,0.05,0.25
"146","CU",0,1,0.065,80,0.99,-1.24
"147","SL",0,1,NA,83.7,0.19,0.28
"148","FC",0,1,0.041,89.8,0.23,0.44
